Month,Zara Dress Search Interest,Chanel Bag Search Interest,avg_monthly_temp,avg_monthly_rain,zara dress,chanel bag
2008-03-01,12,40,12.552674731182796,0.008521505376344,0,0
2008-04-01,15,40,15.32388888888889,0.0003472222222222,0,0
2008-05-01,14,42,19.865698924731184,0.0219220430107526,0,0
2008-06-01,15,45,25.09669444444444,0.0,17,20
2008-07-01,12,42,28.47784946236559,0.0,6,46
2008-08-01,10,44,28.776881720430108,0.0,0,55
2008-09-01,12,45,25.211986111111113,0.0,57,70
2008-10-01,13,45,18.91478494623656,0.0209408602150537,87,25
2008-11-01,14,47,14.112194444444444,0.0938472222222222,63,0
2008-12-01,15,53,8.144462365591398,0.1195698924731182,70,29
2009-01-01,10,47,9.726747311827957,0.0751075268817204,75,30
2009-02-01,11,43,10.018854166666667,0.1823660714285714,67,52
2009-03-01,13,45,12.02293010752688,0.0937903225806451,90,27
2009-04-01,12,45,15.005624999999998,0.026875,67,10
2009-05-01,15,49,22.329932795698927,0.0244220430107526,67,0
2009-06-01,14,48,23.465625,0.01925,113,0
2009-07-01,11,51,29.142728494623658,0.0,99,0
2009-08-01,12,53,27.15782258064516,0.0006989247311827,96,0
2009-09-01,12,50,26.11125,0.0,118,6
2009-10-01,11,50,17.11994623655914,0.087016129032258,64,0
2009-11-01,15,56,12.670944444444444,0.0138472222222222,78,0
2009-12-01,13,62,8.38614247311828,0.1884274193548387,117,0
2010-01-01,10,57,9.729112903225806,0.2066532258064516,107,40
2010-02-01,11,50,10.948869047619048,0.1860565476190476,139,39
2010-03-01,13,51,12.190806451612902,0.088521505376344,154,25
2010-04-01,13,54,12.88940277777778,0.1365138888888889,101,41
2010-05-01,16,57,16.173051075268816,0.0218951612903225,182,49
2010-06-01,16,55,23.866569444444444,0.0,176,42
2010-07-01,11,54,28.19452956989247,0.0,264,84
2010-08-01,11,54,26.68051075268817,0.0,176,68
2010-09-01,13,50,24.44997222222222,0.0015,105,65
2010-10-01,12,51,19.0827688172043,0.1107392473118279,196,74
2010-11-01,14,51,11.842263888888889,0.1132777777777777,121,15
2010-12-01,18,62,10.955416666666666,0.4013172043010752,158,50
2011-01-01,16,56,9.231868279569891,0.0943279569892473,201,65
2011-02-01,16,53,9.009077380952382,0.1308630952380952,193,92
2011-03-01,18,51,11.777701612903227,0.2879435483870967,272,154
2011-04-01,26,56,14.529027777777776,0.0247916666666666,153,146
2011-05-01,38,59,16.896330645161292,0.0593951612903225,203,111
2011-06-01,30,56,22.342986111111113,0.0697777777777777,198,191
2011-07-01,42,53,26.88452956989247,0.0002956989247311,177,155
2011-08-01,32,55,27.80633064516129,0.0,237,232
2011-09-01,23,51,26.04947222222222,0.0004305555555555,296,237
2011-10-01,22,54,19.081733870967746,0.054758064516129,294,282
2011-11-01,25,55,11.604027777777777,0.0515,203,269
2011-12-01,37,68,7.922795698924732,0.0,268,222
2012-01-01,24,63,10.103494623655914,0.1073387096774193,263,330
2012-02-01,27,66,10.303735632183908,0.0407183908045977,245,227
2012-03-01,30,60,12.045510752688172,0.158010752688172,294,246
2012-04-01,35,62,15.837,0.1363194444444444,359,215
2012-05-01,37,64,21.70899193548387,0.0005913978494623,366,247
2012-06-01,35,64,25.231666666666666,0.0082361111111111,256,283
2012-07-01,33,63,27.961881720430107,0.0,363,295
2012-08-01,33,62,29.289381720430107,0.0003360215053763,285,242
2012-09-01,32,66,26.245819444444447,0.0006666666666666,236,305
